#,Name,B,Team,ESPN,Y!,Date,GT,$,Opp,Pitcher,%St,LU,PA,AB,H,R,HR,RBI,SB,BB,SO,AVG,OBP,SLG,OPS,R%,RazzID
1,Trea Turner,R,PHI,SS,SS,5/21,8,60.0,@COL,CPalmquist(L),96,N(1),5.0,4.5,1.47,0.89,0.18,0.70,0.20,0.34,0.84,0.324,0.374,0.529,0.903,100,16252
2,Bryce Harper,L,PHI,1B,1B,5/21,8,49.6,@COL,CPalmquist(L),93,N(2),4.9,4.1,1.27,0.87,0.20,0.72,0.09,0.67,0.97,0.307,0.404,0.527,0.931,100,11579
3,Shohei Ohtani,L,LAD,DH,DH,5/21,10,48.8,ARI,CBurnes(R),97,N(1),4.3,3.7,0.96,0.66,0.28,0.54,0.37,0.54,1.03,0.260,0.356,0.545,0.901,100,6602710
4,Nick Castellanos,R,PHI,OF,OF,5/21,8,43.0,@COL,CPalmquist(L),96,N(4),4.7,4.3,1.29,0.68,0.19,0.84,0.04,0.30,0.92,0.303,0.351,0.514,0.865,100,11737
5,Kyle Schwarber,L,PHI,DH,OF,5/21,8,40.6,@COL,CPalmquist(L),93,N(3),4.8,3.9,0.99,0.78,0.27,0.80,0.05,0.75,1.22,0.252,0.376,0.500,0.876,100,16478
6,Gunnar Henderson,L,BAL,SS,SS,5/21,1,37.8,@MIL,CPatrick(R),100,Y(3),4.5,4.0,1.05,0.67,0.25,0.72,0.11,0.41,1.03,0.264,0.336,0.523,0.859,100,683002
7,Julio Rodriguez,R,SEA,OF,OF,5/21,2,37.7,@CHW,SSmith(R),100,Y(3),4.5,4.1,1.14,0.59,0.21,0.65,0.19,0.35,0.90,0.278,0.344,0.482,0.826,100,677594
8,Ezequiel Tovar,R,COL,SS,SS,5/21,8,37.5,PHI,TWalker(R),100,Y(2),4.4,4.1,1.25,0.75,0.17,0.66,0.07,0.18,0.86,0.301,0.334,0.514,0.848,100,678662
9,Kyle Tucker,L,CHC,OF,OF,5/21,1,36.1,@MIA,MMeyer(R),100,Y(2),4.6,4.0,1.10,0.66,0.19,0.56,0.20,0.59,0.69,0.278,0.372,0.496,0.868,100,663656
10,Jordan Beck,R,COL,OF,OF,5/21,8,36.1,PHI,TWalker(R),100,Y(1),4.5,4.1,1.15,0.80,0.17,0.61,0.11,0.35,1.00,0.281,0.339,0.497,0.836,99,687597
11,Hunter Goodman,R,COL,C/OF,C/1B/ OF,5/21,8,35.1,PHI,TWalker(R),100,Y(3),4.3,4.0,1.10,0.69,0.22,0.77,0.01,0.24,0.87,0.277,0.325,0.523,0.848,100,696100
12,Fernando Tatis Jr.,R,SD,OF,OF,5/21,7,34.9,@TOR,KGausman(R),100,Y(1),4.6,4.2,1.07,0.63,0.22,0.52,0.26,0.30,1.01,0.256,0.309,0.471,0.780,100,665487
13,Bryson Stott,L,PHI,2B,2B/SS,5/21,8,34.4,@COL,CPalmquist(L),49,N(1),5.0,4.4,1.26,0.78,0.10,0.52,0.22,0.46,0.83,0.284,0.354,0.413,0.767,100,681082
14,J.T. Realmuto,R,PHI,C,C,5/21,8,33.2,@COL,CPalmquist(L),76,N(5),4.6,4.1,1.15,0.64,0.17,0.71,0.09,0.38,1.01,0.282,0.350,0.483,0.833,100,11739
15,Corbin Carroll,L,ARI,OF,OF,5/21,10,32.5,@LAD,DMay(R),97,N(1),4.7,4.1,0.98,0.65,0.22,0.51,0.28,0.47,1.05,0.240,0.327,0.459,0.786,100,682998
16,Alec Bohm,R,PHI,3B,1B/3B,5/21,8,32.0,@COL,CPalmquist(L),96,N(6),4.4,4.0,1.27,0.63,0.14,0.66,0.03,0.32,0.61,0.317,0.372,0.501,0.873,99,664761
17,Vladimir Guerrero Jr.,R,TOR,1B,1B/3B,5/21,7,30.2,SD,RVasquez(R),100,Y(2),4.3,3.7,1.07,0.71,0.19,0.60,0.03,0.49,0.54,0.290,0.378,0.502,0.880,100,665489
18,Brenton Doyle,R,COL,OF,OF,5/21,8,28.1,PHI,TWalker(R),100,Y(5),4.1,3.7,1.04,0.58,0.15,0.63,0.13,0.27,0.91,0.279,0.329,0.471,0.800,100,686668
19,Bobby Witt Jr.,R,KC,SS,SS,5/21,3,27.9,@SF,LWebb(R),100,Y(2),4.4,4.1,1.11,0.51,0.11,0.44,0.36,0.21,0.79,0.270,0.311,0.427,0.738,100,677951
20,Pete Crow-Armstrong,L,CHC,OF,OF,5/21,1,27.0,@MIA,MMeyer(R),100,Y(4),4.4,4.1,1.03,0.48,0.15,0.59,0.28,0.24,1.07,0.254,0.301,0.436,0.737,100,691718
21,Jose Ramirez,S,CLE,3B,3B,5/21,3,26.5,@MIN,CPaddack(R),100,Y(3),4.4,3.9,1.03,0.54,0.16,0.60,0.20,0.37,0.58,0.261,0.325,0.449,0.774,100,13510
22,Luis Robert Jr.,R,CHW,OF,OF,5/21,2,26.5,SEA,LEvans(R),100,Y(4),4.0,3.7,0.91,0.49,0.17,0.61,0.25,0.27,0.99,0.246,0.303,0.431,0.734,100,673357
23,Elly De La Cruz,S,CIN,SS,SS,5/21,-12,26.4,@PIT,AHeaney(L),100,Y(3),4.5,4.1,1.01,0.51,0.13,0.55,0.32,0.38,1.23,0.249,0.316,0.414,0.730,100,682829
24,Jackson Chourio,R,MIL,OF,OF,5/21,1,26.4,BAL,TSugano(R),100,Y(2),4.2,4.0,1.04,0.60,0.17,0.55,0.17,0.19,0.82,0.262,0.299,0.458,0.757,100,694192
25,Cal Raleigh,S,SEA,C,C,5/21,2,25.3,@CHW,SSmith(R),100,Y(4),4.4,3.9,0.90,0.57,0.27,0.69,0.05,0.52,1.09,0.234,0.328,0.483,0.811,100,663728
26,Kerry Carpenter,L,DET,OF,OF,5/21,1,22.9,@STL,APallante(R),100,Y(1),4.7,4.3,1.14,0.65,0.19,0.54,0.05,0.29,0.93,0.265,0.318,0.448,0.766,100,681481
27,Austin Riley,R,ATL,3B,3B,5/21,6,22.5,@WSH,TWilliams(R),100,Y(2),4.6,4.2,1.09,0.65,0.20,0.58,0.02,0.33,1.04,0.261,0.320,0.461,0.781,100,663586
28,Bo Bichette,R,TOR,SS,SS,5/21,7,22.4,SD,RVasquez(R),100,Y(1),4.4,4.0,1.13,0.66,0.13,0.50,0.09,0.28,0.68,0.281,0.332,0.437,0.769,100,666182
29,Mickey Moniak,L,COL,OF,OF,5/21,8,22.2,PHI,TWalker(R),100,Y(6),3.9,3.7,1.04,0.57,0.14,0.61,0.06,0.20,0.83,0.283,0.323,0.488,0.811,5,666160
30,Zach Neto,R,LAA,SS,SS,5/21,10,21.6,@ATH,JSears(L),96,N(1),4.6,4.1,0.97,0.59,0.17,0.46,0.23,0.28,1.00,0.238,0.302,0.422,0.724,100,687263
31,Ryan McMahon,L,COL,3B,3B,5/21,8,21.4,PHI,TWalker(R),100,Y(4),4.2,3.6,0.99,0.61,0.15,0.65,0.03,0.48,0.98,0.272,0.358,0.460,0.818,92,15112
32,Jesus Sanchez,L,MIA,OF,OF,5/21,1,21.1,CHC,CHorton(R),100,Y(1),4.3,3.8,0.99,0.65,0.16,0.50,0.11,0.40,0.98,0.258,0.330,0.450,0.780,90,660821
33,Marcell Ozuna,R,ATL,DH,OF,5/21,6,20.9,@WSH,TWilliams(R),100,Y(4),4.4,3.9,0.99,0.56,0.21,0.67,0.01,0.44,0.96,0.256,0.333,0.464,0.797,100,10324
34,Mookie Betts,R,LAD,SS/OF,2B/SS/ OF,5/21,10,20.9,ARI,CBurnes(R),96,N(2),4.2,3.7,0.96,0.54,0.18,0.45,0.17,0.43,0.60,0.260,0.340,0.463,0.803,100,13611
35,Johan Rojas,R,PHI,OF,OF,5/21,8,20.6,@COL,CPalmquist(L),96,N(9),3.5,3.3,0.95,0.52,0.07,0.47,0.22,0.20,0.66,0.293,0.339,0.444,0.783,1,679032
36,Weston Wilson,R,PHI,OF,2B/3B/ OF,5/21,8,20.3,@COL,CPalmquist(L),79,N(8),3.8,3.3,0.86,0.58,0.16,0.57,0.09,0.40,1.00,0.262,0.343,0.473,0.816,0,642215
37,Cedric Mullins,L,BAL,OF,OF,5/21,1,20.3,@MIL,CPatrick(R),100,Y(6),4.1,3.7,0.89,0.51,0.17,0.53,0.21,0.33,0.90,0.240,0.306,0.435,0.741,100,656775
38,Christian Yelich,L,MIL,OF,OF,5/21,1,20.1,BAL,TSugano(R),100,Y(3),4.1,3.6,0.94,0.54,0.14,0.54,0.16,0.41,0.87,0.259,0.337,0.434,0.771,100,11477
39,Brice Turang,L,MIL,2B,2B,5/21,1,20.0,BAL,TSugano(R),100,Y(1),4.3,3.9,1.02,0.59,0.09,0.41,0.26,0.32,0.73,0.261,0.317,0.391,0.708,100,668930
40,Riley Greene,L,DET,OF,OF,5/21,1,18.4,@STL,APallante(R),100,Y(4),4.3,3.9,1.06,0.52,0.15,0.60,0.05,0.41,0.92,0.275,0.347,0.444,0.791,100,682985
41,Jorge Polanco,S,SEA,2B,2B,5/21,2,18.3,@CHW,SSmith(R),100,Y(2),4.7,4.1,0.99,0.63,0.21,0.54,0.05,0.51,1.04,0.242,0.331,0.432,0.763,97,13152
42,Oneil Cruz,L,PIT,SS/OF,SS/OF,5/21,-12,18.1,CIN,BSinger(R),100,Y(1),4.4,3.8,0.95,0.62,0.17,0.49,0.12,0.44,1.18,0.247,0.329,0.438,0.767,100,665833
43,Wyatt Langford,R,TEX,OF,OF,5/21,7,18.1,@NYY,RYarbrough(L),100,Y(2),4.5,3.9,0.99,0.63,0.14,0.50,0.12,0.44,0.86,0.250,0.329,0.416,0.745,100,694671
44,Lawrence Butler,L,ATH,OF,OF,5/21,10,17.5,LAA,JKochanowicz(R),97,N(1),4.1,3.8,1.00,0.56,0.12,0.48,0.15,0.30,0.70,0.264,0.320,0.427,0.747,100,671732
45,CJ Abrams,L,WSH,SS,SS,5/21,6,17.4,ATL,ASmith-Shawver(R),100,Y(1),4.3,3.9,0.89,0.55,0.14,0.44,0.26,0.33,0.85,0.232,0.304,0.406,0.710,100,682928
46,Edmundo Sosa,R,PHI,2B/SS/ 3B,2B/SS/ 3B,5/21,8,17.3,@COL,CPalmquist(L),79,N(7),3.8,3.5,1.03,0.52,0.11,0.55,0.06,0.19,0.81,0.294,0.343,0.471,0.814,0,624641
47,Ketel Marte,S,ARI,2B,2B,5/21,10,17.1,@LAD,DMay(R),91,N(2),4.6,4.0,0.99,0.61,0.19,0.50,0.06,0.51,0.92,0.248,0.339,0.448,0.787,100,13613
48,Ryan O’Hearn,L,BAL,1B/OF,1B/OF,5/21,1,17.1,@MIL,CPatrick(R),100,Y(5),4.2,3.9,1.01,0.54,0.17,0.59,0.03,0.31,0.81,0.262,0.319,0.454,0.773,98,656811
49,Brandon Marsh,L,PHI,OF,OF,5/21,8,17.1,@COL,CPalmquist(L),15,N(9),4.2,3.6,0.98,0.60,0.10,0.52,0.12,0.44,1.23,0.269,0.350,0.412,0.762,17,669016
50,Matt Olson,L,ATL,1B,1B,5/21,6,16.9,@WSH,TWilliams(R),100,Y(3),4.5,3.9,0.97,0.59,0.19,0.61,0.00,0.54,0.96,0.249,0.343,0.454,0.797,100,14344
51,Randy Arozarena,R,SEA,OF,OF,5/21,2,16.8,@CHW,SSmith(R),100,Y(5),4.3,3.7,0.90,0.51,0.16,0.51,0.17,0.49,1.03,0.244,0.349,0.422,0.771,100,668227
52,Steven Kwan,L,CLE,OF,OF,5/21,3,16.8,@MIN,CPaddack(R),100,Y(1),4.6,4.1,1.16,0.63,0.08,0.43,0.11,0.41,0.47,0.283,0.350,0.410,0.760,100,680757
53,Jackson Merrill,L,SD,OF,OF,5/21,7,16.8,@TOR,KGausman(R),100,Y(4),4.2,4.0,1.05,0.45,0.13,0.54,0.15,0.20,0.83,0.265,0.301,0.438,0.739,100,701538
54,Freddie Freeman,L,LAD,1B,1B,5/21,10,16.7,ARI,CBurnes(R),97,N(3),4.1,3.6,0.97,0.49,0.15,0.49,0.11,0.44,0.71,0.272,0.358,0.465,0.823,100,5361
55,Jacob Wilson,R,ATH,SS,SS,5/21,10,16.3,LAA,JKochanowicz(R),61,N(2),4.3,3.9,1.22,0.60,0.07,0.44,0.05,0.22,0.24,0.310,0.354,0.428,0.782,100,805779
56,Daulton Varsho,L,TOR,OF,OF,5/21,7,15.5,SD,RVasquez(R),100,Y(3),4.2,3.7,0.85,0.55,0.16,0.60,0.10,0.39,0.90,0.230,0.310,0.428,0.738,99,662139
57,Brent Rooker,R,ATH,DH,OF,5/21,10,15.4,LAA,JKochanowicz(R),96,N(4),4.0,3.6,0.93,0.53,0.16,0.58,0.06,0.33,0.88,0.257,0.329,0.439,0.768,100,667670
58,Jarren Duran,L,BOS,OF,OF,5/21,6,15.3,NYM,TMegill(R),100,Y(1),4.3,3.9,0.98,0.58,0.07,0.43,0.23,0.37,1.03,0.253,0.322,0.419,0.741,100,680776
59,Josh Naylor,L,ARI,1B,1B,5/21,10,15.2,@LAD,DMay(R),92,N(4),4.4,3.9,0.99,0.48,0.17,0.56,0.08,0.35,0.71,0.252,0.319,0.435,0.754,100,647304
60,Adley Rutschman,S,BAL,C,C,5/21,1,15.2,@MIL,CPatrick(R),100,Y(2),4.6,4.1,1.01,0.66,0.17,0.53,0.01,0.47,0.76,0.251,0.329,0.432,0.761,99,668939
61,Michael Harris II,L,ATL,OF,OF,5/21,6,15.1,@WSH,TWilliams(R),100,Y(8),3.9,3.7,1.00,0.49,0.11,0.48,0.13,0.21,0.65,0.274,0.318,0.438,0.756,100,671739
62,Josh Jung,R,TEX,3B,3B,5/21,7,14.7,@NYY,RYarbrough(L),100,Y(3),4.4,4.1,1.03,0.54,0.15,0.60,0.04,0.23,1.02,0.253,0.298,0.420,0.718,100,673962
63,Manny Machado,R,SD,3B,3B,5/21,7,14.3,@TOR,KGausman(R),100,Y(3),4.3,4.0,0.99,0.47,0.16,0.52,0.13,0.28,0.93,0.247,0.295,0.416,0.711,100,11493
64,Max Kepler,L,PHI,OF,OF,5/21,8,14.2,@COL,CPalmquist(L),24,N(6),4.4,4.0,1.06,0.57,0.13,0.58,0.02,0.39,0.84,0.267,0.337,0.419,0.756,88,12144
65,Luis Arraez,L,SD,1B/2B,1B/2B,5/21,7,14.2,@TOR,KGausman(R),100,Y(2),4.5,4.2,1.27,0.53,0.06,0.40,0.11,0.22,0.27,0.305,0.341,0.416,0.757,100,650333
66,Rhys Hoskins,R,MIL,1B,1B,5/21,1,14.0,BAL,TSugano(R),100,Y(4),4.0,3.6,0.84,0.52,0.19,0.61,0.03,0.36,0.99,0.236,0.311,0.449,0.760,100,656555
67,Jackson Holliday,L,BAL,2B,2B/SS,5/21,1,13.9,@MIL,CPatrick(R),100,Y(1),4.7,4.1,0.98,0.67,0.14,0.47,0.10,0.47,1.22,0.236,0.317,0.404,0.721,100,702616
68,Ryan Mountcastle,R,BAL,1B,1B,5/21,1,13.6,@MIL,CPatrick(R),100,Y(4),4.4,4.1,1.00,0.52,0.17,0.62,0.02,0.25,1.09,0.247,0.294,0.425,0.719,87,663624
69,George Springer,R,TOR,OF,OF,5/21,7,13.5,SD,RVasquez(R),100,Y(4),4.1,3.6,0.87,0.51,0.14,0.57,0.10,0.43,0.70,0.244,0.331,0.411,0.742,100,12856
70,Maikel Garcia,R,KC,2B/3B,2B/SS/ 3B,5/21,3,13.4,@SF,LWebb(R),100,Y(1),4.5,4.2,1.07,0.48,0.04,0.32,0.36,0.24,0.88,0.254,0.295,0.345,0.640,100,672580
71,Willson Contreras,R,STL,C/1B,C/1B,5/21,1,13.3,DET,BHurter(L),100,Y(3),4.1,3.6,0.89,0.54,0.17,0.56,0.03,0.38,0.87,0.248,0.331,0.445,0.776,100,11609
72,Masyn Winn,R,STL,SS,SS,5/21,1,13.3,DET,BHurter(L),100,Y(1),4.3,4.0,1.02,0.60,0.13,0.46,0.08,0.30,0.72,0.257,0.311,0.417,0.728,100,691026
73,Kyle Farmer,R,COL,2B/SS/ 3B,2B/SS/ 3B,5/21,8,13.2,PHI,TWalker(R),100,Y(7),3.8,3.5,1.01,0.53,0.10,0.52,0.04,0.21,0.64,0.286,0.335,0.445,0.780,0,14813
74,Ian Happ,S,CHC,OF,OF,5/21,1,13.1,@MIA,MMeyer(R),100,Y(1),4.7,4.1,1.01,0.63,0.14,0.45,0.09,0.55,1.10,0.247,0.340,0.410,0.750,100,664023
75,Rafael Marchan,S,PHI,C,C,5/21,8,12.4,@COL,CPalmquist(L),24,N(9),3.9,3.4,0.96,0.59,0.09,0.50,0.03,0.36,0.63,0.281,0.359,0.427,0.786,0,665561
76,Austin Hays,R,CIN,OF,OF,5/21,-12,12.0,@PIT,AHeaney(L),100,Y(4),4.4,4.0,1.02,0.49,0.14,0.58,0.04,0.31,0.97,0.256,0.315,0.429,0.744,100,669720
77,Lourdes Gurriel Jr.,R,ARI,OF,OF,5/21,10,11.8,@LAD,DMay(R),91,N(3),4.4,4.1,1.04,0.49,0.17,0.54,0.04,0.24,0.85,0.252,0.300,0.426,0.726,100,666971
78,Adael Amador,S,COL,2B,2B,5/21,8,11.8,PHI,TWalker(R),100,Y(9),3.6,3.2,0.85,0.56,0.09,0.46,0.11,0.35,0.62,0.266,0.342,0.413,0.755,0,691182
79,Ivan Herrera,R,STL,C,C,5/21,1,11.6,DET,BHurter(L),100,Y(4),3.9,3.5,0.94,0.49,0.13,0.54,0.04,0.40,0.74,0.269,0.347,0.434,0.781,100,671056
80,Josh Lowe,L,TB,OF,OF,5/21,1,11.3,HOU,HBrown(R),100,Y(2),4.2,3.8,0.86,0.50,0.13,0.44,0.20,0.36,1.36,0.230,0.299,0.392,0.691,100,666139
81,Nick Martini,L,COL,OF,1B/OF,5/21,8,11.2,PHI,TWalker(R),100,Y(8),3.3,3.0,0.88,0.53,0.11,0.47,0.02,0.30,0.58,0.295,0.365,0.475,0.840,0,605361
82,Heliot Ramos,R,SF,OF,OF,5/21,3,10.8,KC,DLynch IV(L),100,Y(1),4.3,3.9,0.97,0.59,0.14,0.47,0.05,0.33,0.98,0.250,0.315,0.422,0.737,100,671218
83,Seiya Suzuki,R,CHC,OF,OF,5/21,1,10.7,@MIA,MMeyer(R),100,Y(3),4.5,4.1,1.00,0.50,0.13,0.53,0.10,0.39,1.22,0.247,0.316,0.407,0.723,100,673548
84,Adolis Garcia,R,TEX,OF,OF,5/21,7,10.2,@NYY,RYarbrough(L),100,Y(4),4.3,3.9,0.89,0.50,0.16,0.59,0.07,0.30,1.08,0.229,0.291,0.399,0.690,99,666969
85,Miguel Vargas,R,CHW,3B/OF,3B/OF,5/21,2,10.2,SEA,LEvans(R),100,Y(2),4.3,3.7,0.88,0.59,0.14,0.47,0.07,0.48,0.75,0.239,0.334,0.406,0.740,76,678246
86,Chase Meidroth,R,CHW,2B/SS,2B/SS,5/21,2,10.1,SEA,LEvans(R),100,Y(1),4.4,3.7,0.95,0.63,0.08,0.38,0.12,0.59,0.64,0.258,0.368,0.370,0.738,38,805367
87,Seth Brown,L,ATH,1B/OF,1B/OF,5/21,10,9.9,LAA,JKochanowicz(R),49,N(3),3.9,3.6,0.93,0.49,0.13,0.53,0.05,0.26,0.76,0.259,0.314,0.421,0.735,0,664913
88,Kyle Stowers,L,MIA,OF,OF,5/21,1,9.8,CHC,CHorton(R),100,Y(4),4.0,3.5,0.84,0.50,0.16,0.58,0.03,0.36,1.11,0.238,0.315,0.440,0.755,99,669065
89,Tyler Soderstrom,L,ATH,1B/OF,C/1B/ OF,5/21,10,9.7,LAA,JKochanowicz(R),97,N(3),4.1,3.8,0.94,0.53,0.15,0.55,0.02,0.28,0.75,0.249,0.307,0.422,0.729,100,691016
90,Rafael Devers,L,BOS,3B,3B,5/21,6,9.6,NYM,TMegill(R),100,Y(2),4.2,3.5,0.88,0.58,0.14,0.49,0.03,0.59,0.97,0.249,0.360,0.439,0.799,100,646240
91,Leody Taveras,S,SEA,OF,OF,5/21,2,9.6,@CHW,SSmith(R),100,Y(7),4.1,3.7,0.91,0.43,0.11,0.44,0.19,0.31,0.88,0.243,0.301,0.387,0.688,5,665750
92,Alex Verdugo,L,ATL,OF,OF,5/21,6,9.4,@WSH,TWilliams(R),100,Y(1),4.7,4.3,1.15,0.62,0.09,0.44,0.03,0.34,0.62,0.267,0.323,0.398,0.721,12,657077
93,Teoscar Hernandez,R,LAD,OF,OF,5/21,10,9.2,ARI,CBurnes(R),58,N(5),3.8,3.5,0.84,0.40,0.18,0.47,0.11,0.23,1.09,0.241,0.293,0.438,0.731,100,13066
94,Dylan Moore,R,SEA,2B/SS/ 3B/OF,1B/2B/ SS/3B/OF,5/21,2,9.1,@CHW,SSmith(R),100,Y(8),3.7,3.2,0.69,0.44,0.12,0.39,0.26,0.39,0.98,0.219,0.324,0.386,0.710,96,664238
95,Chandler Simpson,L,TB,OF,OF,5/21,1,9.1,HOU,HBrown(R),100,Y(6),3.7,3.4,0.91,0.32,0.02,0.31,0.38,0.24,0.54,0.265,0.315,0.329,0.644,100,802415
96,Nico Hoerner,R,CHC,2B,2B/SS,5/21,1,9.0,@MIA,MMeyer(R),100,Y(7),4.1,3.7,1.05,0.40,0.04,0.38,0.22,0.24,0.45,0.284,0.336,0.380,0.716,100,663538
