#,Name,Team,Opp,Date,GT,OppPitcher,LU,$,QS,W,L,IP,H,ER,K,BB,HBP,HR,K/9,K/BB,ERA,WHIP,R%,RazzID
1,Garrett Crochet,BOS,NYM,5/21,6,TMegill(R),Live,69.5,0.71,0.55,0.25,6.5,4.8,2.1,8.0,1.9,0.22,0.5,11.1,4.2,2.88,1.04,100,676979
2,Jacob deGrom,TEX,@NYY,5/21,7,RYarbrough(L),Live,68.5,0.63,0.51,0.20,6.0,4.1,1.8,7.4,1.6,0.17,0.7,11.0,4.6,2.70,0.95,100,10954
3,Logan Webb,SF,KC,5/21,3,DLynch IV(L),Live,39.6,0.67,0.52,0.25,6.4,6.0,2.3,5.5,1.1,0.22,0.4,7.7,5.0,3.23,1.11,100,657277
4,Kevin Gausman,TOR,SD,5/21,7,RVasquez(R),Live,19.8,0.55,0.44,0.24,5.8,5.5,2.3,5.0,1.3,0.13,0.7,7.8,3.8,3.64,1.17,100,14107
5,JP Sears,ATH,LAA,5/21,10,JKochanowicz(R),Pred,16.0,0.54,0.39,0.27,5.7,5.1,2.4,4.9,1.4,0.34,0.8,7.6,3.5,3.73,1.14,84,676664
6,Hunter Brown,HOU,@TB,5/21,1,TBradley(R),Live,15.8,0.56,0.33,0.34,5.8,5.1,2.3,6.6,2.1,0.21,0.6,10.2,3.2,3.59,1.24,100,686613
7,Taj Bradley,TB,HOU,5/21,1,HBrown(R),Live,13.7,0.55,0.33,0.34,5.8,5.1,2.3,5.5,1.6,0.25,0.7,8.6,3.5,3.61,1.17,95,671737
8,Gavin Williams,CLE,@MIN,5/21,3,CPaddack(R),Live,12.8,0.47,0.31,0.28,5.3,4.3,2.0,5.6,1.9,0.27,0.5,9.5,2.9,3.43,1.18,100,668909
9,Dustin May,LAD,ARI,5/21,10,CBurnes(R),Pred,5.0,0.53,0.35,0.32,5.7,5.1,2.5,5.4,2.1,0.29,0.8,8.4,2.6,3.96,1.25,99,669160
10,Max Meyer,MIA,CHC,5/21,1,CHorton(R),Live,2.5,0.54,0.36,0.32,5.8,5.6,2.7,5.7,2.1,0.25,0.7,8.7,2.7,4.09,1.31,95,676974
11,AJ Smith-Shawver,ATL,@WSH,5/21,6,TWilliams(R),Live,0.6,0.49,0.34,0.28,5.5,4.8,2.4,5.1,2.3,0.21,0.7,8.3,2.2,3.86,1.29,100,700363
12,Andre Pallante,STL,DET,5/21,1,BHurter(L),Live,0.5,0.54,0.38,0.28,5.7,5.5,2.5,4.9,2.1,0.19,0.6,7.6,2.3,3.90,1.32,4,669467
13,Corbin Burnes,ARI,@LAD,5/21,10,DMay(R),Pred,-1.7,0.53,0.31,0.36,5.8,5.2,2.7,5.6,2.1,0.26,1.0,8.7,2.6,4.22,1.27,100,669203
14,Chris Paddack,MIN,CLE,5/21,3,GWilliams(R),Live,-6.0,0.44,0.25,0.33,5.2,4.8,2.2,4.4,1.6,0.14,0.6,7.7,2.8,3.74,1.22,33,663978
15,Andrew Heaney,PIT,CIN,5/21,-12,BSinger(R),Live,-6.9,0.48,0.30,0.33,5.5,5.3,2.6,5.0,1.9,0.31,0.7,8.2,2.7,4.18,1.29,62,15423
16,Brady Singer,CIN,@PIT,5/21,-12,AHeaney(L),Live,-8.7,0.46,0.30,0.31,5.4,5.4,2.5,4.9,1.7,0.32,0.6,8.1,2.9,4.13,1.31,86,663903
17,Shane Smith,CHW,SEA,5/21,2,LEvans(R),Live,-9.4,0.44,0.30,0.30,5.3,4.9,2.5,5.2,2.3,0.39,0.8,8.8,2.3,4.31,1.34,95,681343
18,Tomoyuki Sugano,BAL,@MIL,5/21,1,CPatrick(R),Live,-17.1,0.46,0.31,0.31,5.5,5.8,2.8,4.2,1.4,0.21,0.8,6.8,2.9,4.52,1.32,94,608372
19,Chad Patrick,MIL,BAL,5/21,1,TSugano(R),Live,-19.4,0.41,0.27,0.32,5.2,5.3,2.7,4.7,1.7,0.22,0.9,8.1,2.7,4.65,1.34,3,694477
20,Trevor Williams,WSH,ATL,5/21,6,ASmith-Shawver(R),Live,-20.2,0.47,0.27,0.36,5.5,5.7,2.7,4.2,1.7,0.18,0.8,6.9,2.5,4.36,1.34,0,16977
21,Tylor Megill,NYM,@BOS,5/21,6,GCrochet(L),Live,-21.2,0.41,0.17,0.41,5.1,4.8,2.4,5.5,2.3,0.22,0.5,9.7,2.4,4.17,1.39,95,656731
22,Cade Horton,CHC,@MIA,5/21,1,MMeyer(R),Live,-22.7,0.33,0.22,0.30,4.8,4.8,2.3,4.5,1.6,0.18,0.7,8.5,2.8,4.43,1.35,93,690990
23,Logan Evans,SEA,@CHW,5/21,2,SSmith(R),Live,-27.2,0.44,0.27,0.33,5.3,5.6,2.7,4.1,2.0,0.26,0.8,6.8,2.1,4.55,1.42,1,688138
24,Jack Kochanowicz,LAA,@ATH,5/21,10,JSears(L),Pred,-34.7,0.47,0.24,0.39,5.5,6.1,2.8,3.4,1.7,0.34,0.7,5.5,2.0,4.57,1.41,0,686799
25,Ryan Yarbrough,NYY,TEX,5/21,7,JdeGrom(R),Live,-35.3,0.31,0.13,0.39,4.6,4.6,2.2,3.2,1.4,0.27,0.7,6.2,2.3,4.32,1.29,0,642232
26,Randy Vasquez,SD,@TOR,5/21,7,KGausman(R),Live,-50.3,0.41,0.20,0.41,5.3,5.9,2.9,3.1,2.0,0.28,0.8,5.3,1.5,5.01,1.50,6,681190
27,Carson Palmquist,COL,PHI,5/21,8,TWalker(R),Pred,-52.3,0.10,0.22,0.26,4.5,5.3,2.9,4.1,2.0,0.23,0.8,8.1,2.1,5.79,1.63,0,687223
28,Daniel Lynch IV,KC,@SF,5/21,3,LWebb(R),Live,-56.9,0.00,0.00,0.10,1.7,1.7,0.8,1.2,0.6,0.06,0.2,6.3,2.0,4.53,1.36,0,663738
29,Taijuan Walker,PHI,@COL,5/21,8,CPalmquist(L),Live,-59.0,0.10,0.19,0.26,4.3,5.6,2.8,3.3,1.4,0.18,0.8,6.9,2.3,5.94,1.62,1,11836
30,Brant Hurter,DET,@STL,5/21,1,APallante(R),Live,-59.1,0.00,0.00,0.10,1.6,1.7,0.8,1.0,0.5,0.09,0.2,5.8,2.0,4.62,1.41,0,676428
31,Carlos Rodon,NYY,TEX,5/22,-12,NEovaldi(R),Lst7,52.1,0.64,0.40,0.32,6.1,4.4,2.0,7.2,1.7,0.20,0.8,10.6,4.3,2.94,0.99,100,16137
32,Chris Sale,ATL,@WSH,5/22,6,MGore(L),Lst7,47.0,0.64,0.42,0.30,6.1,4.9,2.0,6.6,1.4,0.33,0.5,9.7,4.8,2.92,1.03,100,10603
33,Luis Severino,ATH,LAA,5/22,3,TAnderson(L),Lst7,36.9,0.69,0.47,0.32,6.5,5.5,2.5,6.3,1.9,0.39,0.7,8.8,3.4,3.40,1.14,87,15890
34,MacKenzie Gore,WSH,ATL,5/22,6,CSale(L),Lst7,22.3,0.60,0.30,0.41,6.0,4.9,2.3,6.9,2.0,0.19,0.7,10.3,3.4,3.42,1.16,100,669022
35,Nathan Eovaldi,TEX,@NYY,5/22,-12,CRodon(L),Lst7,22.2,0.59,0.31,0.39,5.9,4.7,2.2,6.0,1.8,0.23,0.7,9.1,3.3,3.29,1.11,100,9132
36,George Kirby,SEA,@HOU,5/22,8,LMcCullers Jr.(R),Lst7,2.2,0.37,0.27,0.25,4.8,4.6,1.9,4.2,0.7,0.26,0.6,7.8,6.2,3.59,1.10,100,669923
37,Bowden Francis,TOR,SD,5/22,1,SKolek(R),Lst7,2.0,0.52,0.36,0.30,5.7,5.5,2.5,4.3,1.3,0.28,0.8,6.8,3.4,4.00,1.19,40,670102
38,Lucas Giolito,BOS,BAL,5/22,6,CPovich(L),Lst7,1.6,0.46,0.32,0.28,5.3,4.8,2.3,5.3,2.0,0.20,0.5,8.9,2.7,3.82,1.27,68,15474
39,Slade Cecconi,CLE,@DET,5/22,6,MManning(R),Lst7,-5.0,0.42,0.27,0.30,5.1,4.8,2.2,4.4,1.3,0.21,0.7,7.8,3.4,3.91,1.19,23,677944
40,Tyler Anderson,LAA,@ATH,5/22,3,LSeverino(R),Lst7,-11.8,0.50,0.26,0.38,5.6,5.2,2.5,4.3,1.9,0.17,0.7,6.9,2.3,4.00,1.27,58,12880
41,Lance McCullers Jr.,HOU,SEA,5/22,8,GKirby(R),Lst7,-14.8,0.38,0.22,0.32,4.9,4.4,2.2,5.0,2.2,0.30,0.6,9.1,2.3,4.02,1.34,4,14120
42,Ranger Suarez,PHI,@COL,5/22,3,GMarquez(R),Lst7,-18.8,0.46,0.34,0.28,5.5,6.3,2.9,4.9,1.6,0.14,0.6,8.0,3.0,4.72,1.44,100,624133
43,Cade Povich,BAL,@BOS,5/22,6,LGiolito(R),Lst7,-19.7,0.43,0.25,0.34,5.2,5.2,2.5,4.8,2.1,0.16,0.5,8.3,2.3,4.22,1.40,8,700249
44,Matt Manning,DET,CLE,5/22,6,SCecconi(R),Lst7,-21.3,0.33,0.23,0.27,4.6,4.1,2.0,3.5,2.0,0.14,0.5,6.7,1.8,3.88,1.32,0,666159
45,Mike Burrows,PIT,MIL,5/22,6,EMcGee(R),Lst7,-23.7,0.31,0.24,0.24,4.5,4.4,2.1,3.7,1.9,0.18,0.4,7.3,1.9,4.06,1.38,0,681347
46,Stephen Kolek,SD,@TOR,5/22,1,BFrancis(R),Lst7,-28.8,0.52,0.29,0.38,5.8,6.3,2.9,3.7,2.0,0.29,0.6,5.7,1.9,4.48,1.42,17,663568
47,Easton McGee,MIL,@PIT,5/22,6,MBurrows(R),Lst7,-42.9,0.10,0.18,0.29,4.4,4.9,2.3,2.8,1.5,0.27,0.5,5.7,1.9,4.58,1.45,0,668834
48,German Marquez,COL,PHI,5/22,3,RSuarez(L),Lst7,-47.9,0.38,0.24,0.35,5.2,6.4,3.1,4.1,1.9,0.20,0.8,7.1,2.2,5.35,1.59,0,15038
49,Zack Wheeler,PHI,@ATH,5/23,10,JSprings(L),Lst7,57.0,0.67,0.46,0.29,6.3,4.8,2.0,7.0,1.5,0.25,0.6,10.0,4.8,2.87,1.00,100,10310
50,Paul Skenes,PIT,MIL,5/23,6,FPeralta(R),Lst7,53.7,0.66,0.46,0.27,6.2,4.5,1.8,6.9,2.0,0.23,0.3,10.2,3.5,2.69,1.06,100,694973
51,Pablo Lopez,MIN,KC,5/23,8,NCameron(L),Lst7,33.3,0.54,0.39,0.25,5.6,4.7,2.0,5.8,1.3,0.29,0.5,9.3,4.6,3.13,1.07,100,641154
52,Yusei Kikuchi,LAA,MIA,5/23,9,SAlcantara(R),Lst7,31.9,0.59,0.38,0.31,5.9,5.0,2.2,6.5,1.6,0.15,0.7,9.9,4.2,3.33,1.11,99,579328
53,Nick Pivetta,SD,@ATL,5/23,7,GHolmes(R),Lst7,15.7,0.50,0.35,0.28,5.5,4.7,2.3,6.1,1.9,0.16,0.9,10.0,3.3,3.78,1.19,100,601713
54,Hunter Greene,CIN,CHC,5/23,6,MBoyd(L),Lst7,13.7,0.37,0.28,0.24,4.8,3.6,1.9,6.1,1.9,0.33,0.8,11.4,3.3,3.60,1.14,100,668881
55,Jake Irvin,WSH,SF,5/23,6,LRoupp(R),Lst7,13.2,0.62,0.38,0.35,6.2,5.5,2.6,5.4,1.9,0.26,0.9,7.9,2.9,3.82,1.20,34,663623
56,Tyler Mahle,TEX,@CHW,5/23,7,SBurke(R),Lst7,11.1,0.51,0.38,0.26,5.6,4.9,2.3,5.2,1.9,0.19,0.7,8.5,2.7,3.70,1.23,100,641816
57,Zac Gallen,ARI,@STL,5/23,8,MMikolas(R),Lst7,10.9,0.57,0.38,0.31,5.9,5.4,2.4,5.3,1.9,0.23,0.6,8.0,2.7,3.71,1.24,100,668678
58,Jeffrey Springs,ATH,PHI,5/23,10,ZWheeler(R),Lst7,8.9,0.58,0.27,0.43,5.9,5.3,2.4,5.7,1.7,0.14,0.7,8.6,3.4,3.58,1.18,80,605488
59,Sandy Alcantara,MIA,@LAA,5/23,9,YKikuchi(L),Lst7,8.6,0.53,0.29,0.37,5.7,5.1,2.3,5.8,1.6,0.26,0.7,9.2,3.6,3.70,1.19,92,645261
60,Drew Rasmussen,TB,TOR,5/23,7,ELauer(L),Lst7,6.0,0.44,0.34,0.23,5.1,4.8,2.0,4.4,1.2,0.16,0.6,7.7,3.5,3.58,1.17,100,656876
61,Freddy Peralta,MIL,@PIT,5/23,6,PSkenes(R),Lst7,4.1,0.50,0.23,0.40,5.5,4.5,2.1,5.9,2.2,0.32,0.5,9.7,2.6,3.45,1.22,100,642547
62,Brayan Bello,BOS,BAL,5/23,7,CMorton(R),Lst7,0.9,0.51,0.37,0.28,5.6,5.4,2.5,5.4,2.1,0.28,0.5,8.6,2.5,4.01,1.33,74,678394
63,Luis L. Ortiz,CLE,@DET,5/23,7,JJobe(R),Lst7,-2.5,0.49,0.32,0.30,5.5,4.9,2.4,5.0,2.2,0.22,0.6,8.2,2.2,3.92,1.30,66,682847
64,Matthew Boyd,CHC,@CIN,5/23,6,HGreene(R),Lst7,-7.4,0.50,0.27,0.39,5.6,5.3,2.7,5.7,2.0,0.28,0.8,9.1,2.8,4.24,1.30,100,15440
65,Landen Roupp,SF,@WSH,5/23,6,JIrvin(R),Lst7,-9.4,0.46,0.28,0.32,5.3,5.0,2.3,4.7,2.0,0.18,0.5,8.0,2.4,3.92,1.32,85,694738
66,Clayton Kershaw,LAD,@NYM,5/23,7,GCanning(R),Lst7,-11.1,0.41,0.28,0.29,5.1,4.8,2.3,4.3,1.6,0.17,0.7,7.5,2.6,4.07,1.27,50,2036
67,Griffin Canning,NYM,LAD,5/23,7,CKershaw(L),Lst7,-13.6,0.43,0.27,0.32,5.2,4.8,2.5,4.9,2.2,0.21,0.8,8.4,2.3,4.26,1.33,98,656288
68,Noah Cameron,KC,@MIN,5/23,8,PLopez(R),Lst7,-19.4,0.42,0.21,0.37,5.1,5.0,2.3,4.1,1.6,0.24,0.5,7.3,2.5,3.98,1.29,35,702070
69,Miles Mikolas,STL,ARI,5/23,8,ZGallen(R),Lst7,-20.1,0.41,0.24,0.34,5.1,5.3,2.4,3.4,1.1,0.21,0.7,6.0,3.0,4.17,1.25,5,571945
70,Grant Holmes,ATL,SD,5/23,7,NPivetta(R),Lst7,-22.0,0.46,0.26,0.37,5.4,5.8,2.6,4.5,1.7,0.19,0.7,7.4,2.6,4.37,1.37,99,16944
71,Jackson Jobe,DET,CLE,5/23,7,LOrtiz(R),Lst7,-23.2,0.42,0.26,0.32,5.2,4.8,2.4,4.0,2.4,0.18,0.6,6.9,1.6,4.15,1.39,98,695549
72,Sean Burke,CHW,TEX,5/23,7,TMahle(R),Lst7,-24.6,0.43,0.23,0.38,5.3,5.0,2.7,4.8,2.4,0.29,1.0,8.1,2.0,4.57,1.38,3,680732
73,Clarke Schmidt,NYY,@COL,5/23,8,CDollander(R),Lst7,-24.8,0.38,0.30,0.27,5.1,5.8,3.0,5.2,1.6,0.29,0.9,9.1,3.2,5.16,1.45,100,657376
74,Ryan Gusto,HOU,SEA,5/23,8,EHancock(R),Lst7,-27.4,0.31,0.24,0.26,4.7,4.7,2.4,4.2,1.9,0.24,0.7,8.0,2.2,4.60,1.41,13,687473
75,Emerson Hancock,SEA,@HOU,5/23,8,RGusto(R),Lst7,-32.1,0.43,0.28,0.33,5.3,5.9,2.9,3.6,1.6,0.37,0.8,6.0,2.2,4.82,1.40,0,676106
76,Charlie Morton,BAL,@BOS,5/23,7,BBello(R),Lst7,-47.3,0.00,0.05,0.27,3.9,3.9,2.1,4.1,1.9,0.32,0.5,9.3,2.2,4.70,1.47,4,4676
77,Chase Dollander,COL,NYY,5/23,8,CSchmidt(R),Lst7,-48.9,0.31,0.23,0.32,4.9,5.6,3.1,4.6,2.3,0.31,1.0,8.5,2.0,5.71,1.60,14,801403
78,Eric Lauer,TOR,@TB,5/23,7,DRasmussen(R),Lst7,-54.0,0.00,0.00,0.10,2.8,2.8,1.4,2.3,1.0,0.09,0.5,7.5,2.3,4.57,1.37,0,641778